elapsed_sec,rss_kb,cpu_ticks_total
0,13092,7
1,13336,8
2,14956,40
3,15088,69
4,15228,97
5,15388,125
6,15536,154
7,15608,181
8,15756,209
10,15856,236
11,16040,265
12,16104,302
13,16276,330
14,16356,357
15,16552,386
16,16628,414
17,16724,443
18,16832,472
19,16992,501
20,17076,530
21,17184,558
22,17284,585
23,17364,617
24,17364,659
25,17432,687
26,17512,715
27,17588,743
28,17652,771
29,17732,798
30,17840,826
31,17840,852
32,17920,879
33,18004,907
34,18096,934
35,18104,962
36,18180,1000
37,18184,1033
38,18268,1061
39,18340,1088
40,18440,1116
41,18520,1143
42,18520,1170
43,18640,1197
44,18716,1224
45,18804,1252
46,18824,1279
47,18888,1306
48,18984,1340
49,18984,1378
50,19056,1405
51,19056,1432
52,19148,1459
53,19220,1485
54,19220,1512
55,19316,1539
56,19400,1563
57,19412,1588
58,19492,1616
59,19584,1643
60,19592,1673
61,19724,1707
