% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 90.29    0.848162          50     16741           sched_yield
  2.29    0.021500          91       236           write
  1.22    0.011499        1045        11           epoll_wait
  0.93    0.008722         545        16         7 newfstatat
  0.59    0.005527         112        49           mmap
  0.55    0.005156          62        83           getpid
  0.55    0.005130         244        21           fstat
  0.33    0.003092         140        22           fcntl
  0.31    0.002932         122        24         2 openat
  0.30    0.002792         349         8           fdatasync
  0.27    0.002521         140        18           brk
  0.26    0.002415         120        20           read
  0.23    0.002114         151        14           sendto
  0.20    0.001851          84        22           close
  0.18    0.001675         152        11           pwrite64
  0.17    0.001626         116        14           mprotect
  0.17    0.001626         116        14           epoll_ctl
  0.17    0.001561          67        23         5 recvfrom
  0.14    0.001284          47        27           futex
  0.10    0.000943          85        11         1 accept
  0.09    0.000847         282         3           clone3
  0.08    0.000779         779         1           epoll_create1
  0.08    0.000754         754         1         1 connect
  0.08    0.000726          66        11           ioctl
  0.07    0.000653          93         7           pread64
  0.06    0.000608          76         8           rt_sigprocmask
  0.06    0.000552         276         2           unlink
  0.03    0.000309         309         1           bind
  0.03    0.000309         103         3           geteuid
  0.02    0.000219         109         2           socket
  0.02    0.000158          79         2           timerfd_settime
  0.02    0.000144         144         1           gettid
  0.01    0.000105         105         1           timerfd_create
  0.01    0.000104         104         1           getcwd
  0.01    0.000100         100         1           set_robust_list
  0.01    0.000096          96         1           munmap
  0.01    0.000089          89         1           listen
  0.01    0.000082          82         1           setsockopt
  0.01    0.000082          82         1           tgkill
  0.01    0.000078          78         1           arch_prctl
  0.01    0.000077          77         1           rseq
  0.01    0.000076          76         1           set_tid_address
  0.01    0.000075          37         2           getrandom
  0.01    0.000070          70         1           prlimit64
  0.01    0.000068          68         1           getsockopt
  0.01    0.000063          10         6           lseek
  0.00    0.000043          43         1           poll
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           eventfd2
------ ----------- ----------- --------- --------- ----------------
100.00    0.939394          53     17452        17 total
