% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 48.01   30.404860      660975        46         4 futex
 17.91   11.343288          80    140759           write
 17.06   10.807448        1199      9008           fdatasync
  4.82    3.053251         134     22677           pwrite64
  3.65    2.313440         114     20280           fcntl
  1.76    1.115015         123      9020      4508 newfstatat
  1.29    0.814723         180      4524         2 openat
  0.98    0.619006         137      4508           pread64
  0.93    0.590442          74      7906      2593 recvfrom
  0.83    0.528457         116      4524           close
  0.80    0.508769         225      2253           unlink
  0.79    0.499781         110      4524           fstat
  0.49    0.312975          69      4482           getpid
  0.32    0.203963          90      2253           geteuid
  0.12    0.073415         149       490           sendto
  0.07    0.042747         114       372           epoll_wait
  0.04    0.028034          95       293        45 accept
  0.03    0.021791          79       274           brk
  0.03    0.017688          69       253         1 ioctl
  0.02    0.013518          52       258           epoll_ctl
  0.01    0.005588          99        56           mmap
  0.01    0.004809         601         8           munmap
  0.00    0.002012          95        21           read
  0.00    0.001377          86        16           mprotect
  0.00    0.001323         330         4         4 connect
  0.00    0.000824         274         3           clone3
  0.00    0.000709         709         1           execve
  0.00    0.000707          64        11           rt_sigprocmask
  0.00    0.000624         124         5           socket
  0.00    0.000598          74         8           timerfd_settime
  0.00    0.000392          78         5           lseek
  0.00    0.000350          87         4           getsockopt
  0.00    0.000290          72         4           set_robust_list
  0.00    0.000273          68         4           poll
  0.00    0.000181         181         1           madvise
  0.00    0.000121          30         4           rseq
  0.00    0.000096          96         1           listen
  0.00    0.000096          96         1           eventfd2
  0.00    0.000094          94         1           timerfd_create
  0.00    0.000092          92         1           epoll_create1
  0.00    0.000074          74         1           bind
  0.00    0.000065          65         1         1 access
  0.00    0.000065          65         1           setsockopt
  0.00    0.000058          58         1           arch_prctl
  0.00    0.000058          58         1           set_tid_address
  0.00    0.000058          58         1           prlimit64
  0.00    0.000056          28         2           getrandom
  0.00    0.000053          53         1           getcwd
  0.00    0.000045          45         1           rt_sigaction
------ ----------- ----------- --------- --------- ----------------
100.00   63.333699         265    238873      7158 total
