% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 57.22   49.261055         838     58738      8567 futex
 17.94   15.440973         125    122682           fcntl
 13.29   11.444198          83    136748           write
  7.08    6.094419         143     42430           pwrite64
  3.13    2.693489         129     20780      8877 recvfrom
  0.38    0.327791         163      2006           writev
  0.23    0.195352        2831        69           fdatasync
  0.17    0.147360          53      2736           getpid
  0.13    0.115676         167       689           epoll_wait
  0.13    0.108524         180       600           sendto
  0.08    0.067941         191       355        55 accept
  0.05    0.045421         122       370           pread64
  0.05    0.042812         119       357           brk
  0.05    0.039320         144       273           mprotect
  0.02    0.019771          63       311           epoll_ctl
  0.02    0.017056          55       305           ioctl
  0.01    0.004993          81        61           mmap
  0.00    0.004207         191        22           ftruncate
  0.00    0.004001         400        10           munmap
  0.00    0.003561          75        47           fstat
  0.00    0.002246          93        24         2 openat
  0.00    0.001458          63        23           close
  0.00    0.001063          50        21           read
  0.00    0.001011          67        15         7 newfstatat
  0.00    0.000709         177         4           clone3
  0.00    0.000666         166         4         4 connect
  0.00    0.000660         132         5           socket
  0.00    0.000623          44        14           rt_sigprocmask
  0.00    0.000488          61         8           timerfd_settime
  0.00    0.000356          71         5           set_robust_list
  0.00    0.000353          88         4           poll
  0.00    0.000318          79         4           getsockopt
  0.00    0.000311          62         5           rseq
  0.00    0.000257          51         5           lseek
  0.00    0.000217          54         4           geteuid
  0.00    0.000202         202         1           bind
  0.00    0.000148         148         1           unlink
  0.00    0.000084          84         1           madvise
  0.00    0.000083          83         1           listen
  0.00    0.000061          61         1           rt_sigaction
  0.00    0.000058          58         1           getcwd
  0.00    0.000058          29         2           getrandom
  0.00    0.000051          51         1           setsockopt
  0.00    0.000050          50         1           arch_prctl
  0.00    0.000049          49         1           set_tid_address
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00   86.089500         220    389751     17513 total
