% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 36.52   18.193209       81583       223        46 futex
 25.60   12.750096          88    143503           write
 24.91   12.409511         125     98972           fcntl
  9.87    4.916439         143     34212           pwrite64
  1.46    0.726895          92      7819      2389 recvfrom
  0.68    0.338417        6266        54           fdatasync
  0.22    0.111198          49      2267           getpid
  0.19    0.096473         193       498           sendto
  0.13    0.066705         252       264        12 accept
  0.08    0.041357         148       278           epoll_wait
  0.07    0.037001         130       283           pread64
  0.07    0.036264         171       212           mprotect
  0.06    0.028815         110       261           brk
  0.04    0.020039          76       262           epoll_ctl
  0.04    0.019580          76       257         1 ioctl
  0.01    0.003315          58        57           mmap
  0.01    0.003249          73        44           fstat
  0.01    0.002947         173        17           ftruncate
  0.00    0.001588         397         4         4 connect
  0.00    0.001492          62        24         2 openat
  0.00    0.001213          52        23           close
  0.00    0.001094          72        15         7 newfstatat
  0.00    0.000911          43        21           read
  0.00    0.000484          53         9           munmap
  0.00    0.000404          80         5           socket
  0.00    0.000235          29         8           timerfd_settime
  0.00    0.000233         233         1           unlink
  0.00    0.000200          50         4           geteuid
  0.00    0.000147          13        11           rt_sigprocmask
  0.00    0.000133         133         1           rt_sigaction
  0.00    0.000116          29         4           getsockopt
  0.00    0.000090          90         1           madvise
  0.00    0.000083          20         4           set_robust_list
  0.00    0.000061          61         1           set_tid_address
  0.00    0.000060          15         4           poll
  0.00    0.000058          58         1           getcwd
  0.00    0.000056          28         2           getrandom
  0.00    0.000054          54         1           prlimit64
  0.00    0.000053          53         1           arch_prctl
  0.00    0.000053          13         4           rseq
  0.00    0.000000           0         5           lseek
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         3           clone3
------ ----------- ----------- --------- --------- ----------------
100.00   49.810328         171    289648      2462 total
